MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs 
59488.462759  17.816  0.053   271   14 orange  0   1.95  45.14846  11.84153  1966.03  8110.52 2.99 2.70 -46.8 -0.456 19.27 20.77 01a59488o0552o
59488.468303  17.677  0.051   308   16 orange  0   2.22  45.14846  11.84153  1984.35  7993.37 2.96 2.64 -46.4 -0.459 19.33 20.84 01a59488o0564o
59489.572484  17.632  0.055   322   18 orange  0   1.30  45.14846  11.84153  8600.41  2478.41 2.85 2.68 -59.5 -0.484 19.25 20.62 01a59489o0451o
59489.586817  17.805  0.064   274   18 orange  0   1.49  45.14846  11.84153  8623.51  2515.15 2.87 2.70 -58.3 -0.477 19.23 20.62 01a59489o0482o
59489.590041  17.724  0.068   295   20 orange  0   1.55  45.14846  11.84153  8564.87  2438.80 2.92 2.67 -57.0 -0.489 19.22 20.62 01a59489o0489o
59489.606362  17.658  0.050   314   16 orange  0   2.21  45.14846  11.84153  8551.93  2555.54 2.96 2.72 -58.4 -0.480 19.15 20.52 01a59489o0524o
59491.500024  17.487  0.033   367   12 orange  0   2.79  45.14846  11.84153   762.09  6311.71 2.01 1.82  11.6 -0.435 19.55 20.66 02a59491o0652o
59491.502768  17.458  0.037   378   14 orange  0   2.45  45.14846  11.84153   782.44  6351.41 1.97 1.82  -1.1 -0.443 19.57 20.67 02a59491o0658o
59491.505513  17.617  0.044   326   14 orange  0   1.24  45.14846  11.84153   724.80  6273.62 2.05 1.88  17.8 -0.432 19.57 20.68 02a59491o0664o
59491.531273  17.535  0.041   352   14 orange  0   1.66  45.14846  11.84153  9885.01  4174.01 2.14 2.01  27.5 -0.435 19.52 20.71 02a59491o0714o
59492.320843  18.287 12.925   176 2273 orange  0   1.19  45.14846  11.84153  1903.18  8059.14 3.51 2.95 -43.0 -0.440 15.15 15.85 01a59492o0277o
59492.344478  16.927  0.543   615  334 orange  0   1.25  45.14846  11.84153  1889.42  8025.71 3.19 2.78 -46.4 -0.431 16.57 17.39 01a59492o0328o
59492.349110  13.732  1.208 11671 14100 orange  0   1.28  45.14846  11.84153  1949.09  8104.03 2.97 2.57 -46.5 -0.471 14.21 15.27 01a59492o0338o
59492.372524 -18.130  3.169  -203  644 orange  0   1.04  45.14846  11.84153  1971.45  7986.21 3.06 2.62 -43.4 -0.469 15.56 16.46 01a59492o0387o
59493.476263  17.436  0.041   385   16 orange  0   2.70  45.14846  11.84153  1930.93  8069.00 2.62 2.37 -45.4 -0.501 19.41 20.80 01a59493o0589o
59493.502357  17.460  0.040   377   15 orange  0   2.33  45.14846  11.84153  1913.15  8030.79 2.71 2.52 -52.8 -0.477 19.39 20.87 01a59493o0642o
59493.518794  17.486  0.043   368   16 orange  0   1.63  45.14846  11.84153  8548.59  2457.49 2.81 2.69 -55.4 -0.483 19.36 20.87 01a59493o0675o
59493.543757  17.500  0.042   363   15 orange  0   1.81  45.14846  11.84153  8537.25  2567.27 2.95 2.90  40.3 -0.441 19.39 21.02 01a59493o0726o
